,concept_label,precision,recall,f1,support,accuracy,num_records,concept_label_group,relevance
48,peak_inspiratory_pressure,0.0,0.0,0.0,37,0.0,4565785,respiratory,relevant
49,tidal_volume_expiratory_measured,0.0,0.0,0.0,4,0.0,1478863,respiratory,relevant
50,height_measured,0.0,0.0,0.0,40,0.0,7705,demographics,relevant
51,p01_measured,0.0,0.0,0.0,19,0.0,1960995,respiratory,relevant
52,arterial_bp_diastolic,0.0,0.0,0.0,10,0.0,4031569,hemodynamics,relevant
53,arterial_bp_mean,0.0,0.0,0.0,14,0.0,4080765,hemodynamics,relevant
54,arterial_bp_systolic,0.0,0.0,0.0,10,0.0,4032628,hemodynamics,relevant
55,cardiac_output_unspecified,0.0,0.0,0.0,17,0.0,7686,hemodynamics,relevant
56,central_venous_pressure,0.0,0.0,0.0,9,0.0,1391028,hemodynamics,relevant
57,heart_rate_unspecified,0.0,0.0,0.0,116,0.0,8508400,hemodynamics,relevant
58,nibp_diastolic,0.0,0.0,0.0,9,0.0,29407,hemodynamics,relevant
59,nibp_mean,0.0,0.0,0.0,17,0.0,75938,hemodynamics,relevant
60,nibp_systolic,0.0,0.0,0.0,10,0.0,38036,hemodynamics,relevant
61,pulmonary_artery_pressure_diastolic,0.0,0.0,0.0,2,0.0,5021,hemodynamics,relevant
62,pulmonary_artery_pressure_systolic,0.0,0.0,0.0,2,0.0,5021,hemodynamics,relevant
63,pulmonary_artery_pressure_mean,0.0,0.0,0.0,4,0.0,17120,hemodynamics,relevant
64,pulmonary_wedge_pressure,0.0,0.0,0.0,4,0.0,65,hemodynamics,relevant
65,heart_rhythm_text,0.0,0.0,0.0,283,0.0,142710,hemodynamics,relevant
66,fluid_in_oral,0.002531645569620253,0.0009057971014492754,0.0013342228152101402,1104,0.0009057971014492754,15173,fluid balance,relevant
67,fluid_out_emesis_retention,0.0,0.0,0.0,90,0.0,93654,fluid balance,relevant
68,systemic_vascular_resistance_index,0.0,0.0,0.0,16,0.0,71951,hemodynamics,relevant
69,systemic_vascular_resistance,0.0,0.0,0.0,14,0.0,14689,hemodynamics,relevant
70,fluid_out_cvvh_dialysis,0.04,0.018518518518518517,0.02531645569620253,54,0.018518518518518517,29097,fluid balance,relevant
71,stroke_volume_variation,0.0,0.0,0.0,17,0.0,77822,hemodynamics,relevant
72,fluid_out_defecation,0.0,0.0,0.0,72,0.0,33705,fluid balance,relevant
73,fluid_in_tube,0.3,0.011029411764705883,0.02127659574468085,272,0.011029411764705883,55397,fluid balance,relevant
74,temperature_bladder,0.0,0.0,0.0,11,0.0,787636,infectiology,relevant
75,temperature_unspecified,0.0,0.0,0.0,53,0.0,983671,infectiology,relevant
76,temperature_core,0.0,0.0,0.0,4,0.0,10653,infectiology,relevant
77,stroke_volume_index,0.0,0.0,0.0,19,0.0,89791,hemodynamics,relevant
78,capillary_refill_text,0.0,0.0,0.0,16,0.0,1900,hemodynamics,relevant
79,inspiratory_pressure_above_peep,0.0,0.0,0.0,58,0.0,3347097,respiratory,relevant
80,respiratory_rate_measured_spontaneous,0.0,0.0,0.0,10,0.0,4254004,respiratory,relevant
81,respiratory_rate_measured_ventilator,0.0,0.0,0.0,27,0.0,3792789,respiratory,relevant
82,respiratory_rate_set,0.0,0.0,0.0,39,0.0,2605447,respiratory,relevant
83,peep_unspecified,0.0,0.0,0.0,4,0.0,803539,respiratory,relevant
84,vent_mode_manual,0.0,0.0,0.0,5,0.0,118,respiratory,relevant
85,fluid_out_other,0.0,0.0,0.0,79,0.0,2397,fluid balance,relevant
86,vent_mode,0.0,0.0,0.0,94,0.0,6731934,respiratory,relevant
87,pupil_reflex_left,0.0,0.0,0.0,19,0.0,30908,neurology,relevant
88,pupil_reflex_right,0.0,0.0,0.0,18,0.0,33470,neurology,relevant
89,lung_compliance_unspecified,0.0,0.0,0.0,10,0.0,911064,respiratory,relevant
90,tidal_volume_expiratory_unspecified,0.0,0.0,0.0,1,0.0,19097,respiratory,relevant
91,inspiratory_time_perc,0.0,0.0,0.0,4,0.0,86270,respiratory,relevant
92,tidal_volume_inspiratory_unspecified,0.0,0.0,0.0,2,0.0,22013,respiratory,relevant
93,fluid_out_drain,0.0,0.0,0.0,82,0.0,8895,fluid balance,relevant
94,o2_flow_unspecified,0.0,0.0,0.0,79,0.0,35639,respiratory,relevant
95,rass_score,0.0,0.0,0.0,48,0.0,96405,neurology,relevant
96,pain_score_vas,0.0,0.0,0.0,12,0.0,19047,clinical score,relevant
97,plateau_pressure,0.0,0.0,0.0,27,0.0,966352,respiratory,relevant
98,saturation_o2_peripheral,0.0,0.0,0.0,205,0.0,2008990,respiratory,relevant
99,pressure_trigger,0.0,0.0,0.0,8,0.0,17019,respiratory,relevant
100,fluid_out_flush,0.0,0.0,0.0,15,0.0,231,fluid balance,relevant
101,alkaline_phosphatase_unspecified,0.0,0.0,0.0,29,0.0,16069,laboratory value,relevant
102,asat_unspecified,0.0,0.0,0.0,27,0.0,16574,laboratory value,relevant
103,alat_unspecified,0.0,0.0,0.0,27,0.0,19326,laboratory value,relevant
104,po2_arterial,0.0,0.0,0.0,37,0.0,82712,laboratory value,relevant
105,bilirubin_unspecified,0.0,0.0,0.0,6,0.0,3348,laboratory value,relevant
106,calcium_unspecified,0.0,0.0,0.0,21,0.0,8905,laboratory value,relevant
107,calcium_ionised,0.0,0.0,0.0,22,0.0,45371,laboratory value,relevant
108,creatine_kinase_unspecified,0.0,0.0,0.0,35,0.0,16559,laboratory value,relevant
109,crp_unspecified,0.0,0.0,0.0,29,0.0,32188,laboratory value,relevant
110,creatinine_unspecified,0.0,0.0,0.0,22,0.0,24199,laboratory value,relevant
111,chloride_unspecified,0.0,0.0,0.0,24,0.0,40425,laboratory value,relevant
112,hematocrit_unspecified,0.0,0.0,0.0,27,0.0,40900,laboratory value,relevant
113,fibrinogen_unspecified,0.0,0.0,0.0,22,0.0,3333,laboratory value,relevant
114,phosphate_unspecified,0.0,0.0,0.0,25,0.0,25671,laboratory value,relevant
115,prothrombin_time_inr,0.0,0.0,0.0,32,0.0,4702,laboratory value,relevant
116,leukocytes_unspecified,0.0,0.0,0.0,25,0.0,32422,laboratory value,relevant
117,thrombocytes_unspecified,0.0,0.0,0.0,15,0.0,18158,laboratory value,relevant
118,magnesium_unspecified,0.0,0.0,0.0,25,0.0,26522,laboratory value,relevant
119,ureum_unspecified,0.0,0.0,0.0,29,0.0,29594,laboratory value,relevant
120,prothrombin_time_sec,0.0,0.0,0.0,26,0.0,6733,laboratory value,relevant
121,gamma_gt_unspecified,0.0,0.0,0.0,28,0.0,17735,laboratory value,relevant
122,d_dimer_unspecified,0.0,0.0,0.0,27,0.0,10111,laboratory value,relevant
123,anion_gap_unspecified,0.0,0.0,0.0,7,0.0,14891,laboratory value,relevant
124,lactate_unspecified,0.0,0.0,0.0,17,0.0,36320,laboratory value,relevant
125,ammonia_unspecified,0.0,0.0,0.0,17,0.0,132,laboratory value,relevant
126,creatine_kinase_mb_activity,0.0,0.0,0.0,16,0.0,554,laboratory value,relevant
127,tobramycin_trough_level,0.0,0.0,0.0,6,0.0,29,laboratory value,relevant
128,tobramycin_peak_level,0.0,0.0,0.0,5,0.0,7,laboratory value,relevant
129,vancomycin_trough_level,0.0,0.0,0.0,15,0.0,232,laboratory value,relevant
130,gender_text,0.0,0.0,0.0,9,0.0,3069,demographics,relevant
131,cough_reflex_text,0.0,0.0,0.0,20,0.0,23875,respiratory,relevant
132,height_unspecified,0.0,0.0,0.0,2,0.0,241,demographics,relevant
133,glucose_measured_whole_blood,0.0,0.0,0.0,4,0.0,18987,laboratory value,relevant
134,sodium_bloodgas,0.0,0.0,0.0,3,0.0,1888,laboratory value,relevant
135,potassium_bloodgas,0.0,0.0,0.0,3,0.0,2071,laboratory value,relevant
136,calcium_ratio,0.0,0.0,0.0,5,0.0,1693,laboratory value,relevant
137,position_text,0.0,0.0,0.0,244,0.0,93845,position,relevant
138,rapid_shallow_breathing_index,0.0,0.0,0.0,11,0.0,1396737,respiratory,relevant
139,cardiac_index_unspecified,0.0,0.0,0.0,25,0.0,8112,hemodynamics,relevant
140,readmission_ic,0.0,0.0,0.0,9,0.0,3086,admission information,relevant
141,med_carbohydrates,0.0,0.0,0.0,79,0.0,31971,medication,relevant
142,med_piritramide,0.0,0.0,0.0,3,0.0,15,medication,relevant
143,med_midazolam,0.0,0.0,0.0,41,0.0,18200,medication,relevant
144,med_insulin_aspart,0.0,0.0,0.0,16,0.0,12149,medication,relevant
145,med_bisoprolol,0.0,0.0,0.0,30,0.0,360,medication,relevant
146,med_risperidone,0.0,0.0,0.0,15,0.0,145,medication,relevant
147,med_fluvastatin,0.0,0.0,0.0,7,0.0,43,medication,relevant
148,med_candesartan,0.0,0.0,0.0,2,0.0,7,medication,relevant
149,med_losartan,0.0,0.0,0.0,26,0.0,391,medication,relevant
150,med_carbasalate_calcium,0.0,0.0,0.0,15,0.0,152,medication,relevant
151,med_aciclovir,0.0,0.0,0.0,23,0.0,862,medication,relevant
152,med_thiamine_(vit_b1),0.0,0.0,0.0,47,0.0,2169,medication,relevant
153,med_calcium_combinations_with_vitamin_d_and/or_other_drugs,0.0,0.0,0.0,12,0.0,398,medication,relevant
154,med_vancomycin,0.0,0.0,0.0,27,0.0,3609,medication,relevant
155,med_artificial_tears_and_other_indifferent_preparations,0.11538461538461539,0.08108108108108109,0.09523809523809523,37,0.08108108108108109,19557,medication,relevant
156,med_ticagrelor,0.0,0.0,0.0,6,0.0,41,medication,relevant
157,med_promethazine,0.0,0.0,0.0,14,0.0,386,medication,relevant
158,med_sulfonamides_and_trimethoprim,0.0,0.0,0.0,1,0.0,82,medication,relevant
159,med_cefuroxime,0.0,0.0,0.0,10,0.0,868,medication,relevant
160,med_morphine,0.0,0.0,0.0,23,0.0,4126,medication,relevant
161,med_insulins_and_analogues,0.0,0.0,0.0,2,0.0,94,medication,relevant
162,med_metamizole_sodium,0.0,0.0,0.0,4,0.0,288,medication,relevant
163,med_general_nutrients,0.0,0.0,0.0,56,0.0,20320,medication,relevant
164,med_dexmedetomidine,0.0,0.0,0.0,16,0.0,14387,medication,relevant
165,med_amphotericin_b,0.0,0.0,0.0,13,0.0,705,medication,relevant
166,med_sodium_hypochlorite,0.0,0.0,0.0,2,0.0,68,medication,relevant
167,med_apixaban,0.0,0.0,0.0,24,0.0,1372,medication,relevant
168,med_ascorbic_acid_(vit_c),0.0,0.0,0.0,14,0.0,1286,medication,relevant
169,med_sodium_chloride,0.0,0.0,0.0,11,0.0,22026,medication,relevant
170,med_colecalciferol,0.0,0.0,0.0,24,0.0,291,medication,relevant
171,med_vitamin_b12_(cyanocobalamin_and_analogues),0.0,0.0,0.0,3,0.0,21,medication,relevant
172,med_anidulafungin,0.0,0.0,0.0,6,0.0,651,medication,relevant
173,med_chloroquine,0.0,0.0,0.0,9,0.0,1744,medication,relevant
174,med_potassium_chloride,0.0,0.0,0.0,21,0.0,7232,medication,relevant
175,med_acetazolamide,0.0,0.0,0.0,7,0.0,274,medication,relevant
176,med_acetylcysteine,0.0,0.0,0.0,32,0.0,2056,medication,relevant
177,med_acetylsalicylic_acid,0.0,0.0,0.0,35,0.0,3749,medication,relevant
178,analysis_source_bloodgas_arterial_text,0.0,0.0,0.0,4,0.0,10757,laboratory value,relevant
179,med_amiodarone,0.0,0.0,0.0,26,0.0,1313,medication,relevant
180,med_amitriptyline,0.0,0.0,0.0,4,0.0,108,medication,relevant
181,med_amlodipine,0.0,0.0,0.0,37,0.0,3464,medication,relevant
182,med_atorvastatin,0.0,0.0,0.0,7,0.0,666,medication,relevant
183,med_beclometasone,0.0,0.0,0.0,14,0.0,118,medication,relevant
184,med_captopril,0.0,0.0,0.0,17,0.0,407,medication,relevant
185,med_ceftazidime,0.0,0.0,0.0,9,0.0,350,medication,relevant
186,med_ceftriaxone,0.0,0.0,0.0,10,0.0,2548,medication,relevant
187,med_albumin,0.0,0.0,0.0,23,0.0,1156,medication,relevant
188,med_cetirizine,0.0,0.0,0.0,8,0.0,170,medication,relevant
189,med_codeine,0.0,0.0,0.0,25,0.0,596,medication,relevant
190,med_colistin,0.0,0.0,0.0,3,0.0,165,medication,relevant
191,med_calcium_gluconate,0.0,0.0,0.0,7,0.0,492,medication,relevant
192,med_clemastine,0.0,0.0,0.0,15,0.0,173,medication,relevant
193,med_clonidine,0.0,0.0,0.0,45,0.0,10086,medication,relevant
194,med_dalteparin,0.0,0.0,0.0,22,0.0,4064,medication,relevant
195,med_dexamethasone,0.0,0.0,0.0,31,0.0,1857,medication,relevant
196,med_diclofenac,0.0,0.0,0.0,19,0.0,82,medication,relevant
197,med_diltiazem,0.0,0.0,0.0,9,0.0,133,medication,relevant
198,med_dipyridamole,0.0,0.0,0.0,4,0.0,12,medication,relevant
199,med_doxazosin,0.0,0.0,0.0,2,0.0,42,medication,relevant
200,med_doxycycline,0.0,0.0,0.0,13,0.0,170,medication,relevant
201,med_enalapril,0.0,0.0,0.0,34,0.0,1249,medication,relevant
202,med_erythromycin,0.0,0.0,0.0,21,0.0,4638,medication,relevant
203,med_esketamine,0.0,0.0,0.0,28,0.0,1899,medication,relevant
204,med_etomidate,0.0,0.0,0.0,10,0.0,281,medication,relevant
205,med_ezetimibe,0.0,0.0,0.0,17,0.0,487,medication,relevant
206,med_fentanyl,0.0,0.0,0.0,47,0.0,3395,medication,relevant
207,med_flecainide,0.0,0.0,0.0,4,0.0,92,medication,relevant
208,med_flucloxacillin,0.0,0.0,0.0,27,0.0,2519,medication,relevant
209,med_fluconazole,0.0,0.0,0.0,10,0.0,47,medication,relevant
210,med_flumazenil,0.0,0.0,0.0,6,0.0,12,medication,relevant
211,med_furosemide,0.0,0.0,0.0,47,0.0,4555,medication,relevant
212,med_gabapentin,0.0,0.0,0.0,14,0.0,118,medication,relevant
213,med_ganciclovir,0.0,0.0,0.0,3,0.0,20,medication,relevant
214,med_gliclazide,0.0,0.0,0.0,1,0.0,7,medication,relevant
215,med_haloperidol,0.0,0.0,0.0,51,0.0,5847,medication,relevant
216,med_heparin,0.0,0.0,0.0,30,0.0,3854,medication,relevant
217,med_hydrochlorothiazide,0.0,0.0,0.0,30,0.0,2109,medication,relevant
218,med_hydrocortisone,0.0,0.0,0.0,29,0.0,1774,medication,relevant
219,med_immunoglobulins,0.0,0.0,0.0,3,0.0,8,medication,relevant
220,med_ipratropium_bromide,0.0,0.0,0.0,14,0.0,2057,medication,relevant
221,med_ivabradine,0.0,0.0,0.0,8,0.0,135,medication,relevant
222,med_labetalol,0.0,0.0,0.0,17,0.0,333,medication,relevant
223,med_letrozole,0.0,0.0,0.0,1,0.0,20,medication,relevant
224,med_levothyroxine_sodium,0.0,0.0,0.0,32,0.0,651,medication,relevant
225,med_linezolid,0.0,0.0,0.0,6,0.0,82,medication,relevant
226,med_lorazepam,0.0,0.0,0.0,30,0.0,1263,medication,relevant
227,med_magnesium_sulfate,0.0,0.0,0.0,22,0.0,2270,medication,relevant
228,med_mebeverine,0.0,0.0,0.0,1,0.0,1,medication,relevant
229,med_meropenem,0.0,0.0,0.0,7,0.0,853,medication,relevant
230,med_metformin,0.0,0.0,0.0,39,0.0,2648,medication,relevant
231,med_methadone,0.0,0.0,0.0,5,0.0,70,medication,relevant
232,med_methylprednisolone,0.0,0.0,0.0,11,0.0,850,medication,relevant
233,med_metoclopramide,0.0,0.0,0.0,39,0.0,5423,medication,relevant
234,med_metoprolol,0.0,0.0,0.0,75,0.0,12011,medication,relevant
235,med_miconazole,0.0,0.0,0.0,23,0.0,900,medication,relevant
236,med_imidazoles/triazoles_in_combination_with_corticosteroids,0.0,0.0,0.0,2,0.0,79,medication,relevant
237,med_mirtazapine,0.0,0.0,0.0,7,0.0,210,medication,relevant
238,med_electrolytes,0.0,0.0,0.0,56,0.0,46455,medication,relevant
239,med_nicardipine,0.0,0.0,0.0,7,0.0,288,medication,relevant
240,med_nicotine,0.0,0.0,0.0,15,0.0,131,medication,relevant
241,med_nifedipine,0.0,0.0,0.0,20,0.0,737,medication,relevant
242,med_glyceryl_trinitrate,0.0,0.0,0.0,11,0.0,114,medication,relevant
243,med_olanzapine,0.0,0.0,0.0,25,0.0,355,medication,relevant
244,med_oxazepam,0.0,0.0,0.0,40,0.0,5518,medication,relevant
245,med_pantoprazole,0.0,0.0,0.0,26,0.0,11383,medication,relevant
246,med_paracetamol,0.0,0.0,0.0,37,0.0,71736,medication,relevant
247,med_paroxetine,0.0,0.0,0.0,13,0.0,300,medication,relevant
248,med_perindopril,0.0,0.0,0.0,10,0.0,155,medication,relevant
249,med_piperacillin_and_beta-lactamase_inhibitor,0.0,0.0,0.0,21,0.0,4795,medication,relevant
250,med_polystyrene_sulfonate,0.0,0.0,0.0,25,0.0,494,medication,relevant
251,med_pravastatin,0.0,0.0,0.0,16,0.0,189,medication,relevant
252,med_prednisolone,0.0,0.0,0.0,61,0.0,2875,medication,relevant
253,med_pregabalin,0.0,0.0,0.0,16,0.0,664,medication,relevant
254,med_quetiapine,0.0,0.0,0.0,13,0.0,834,medication,relevant
255,med_remifentanil,0.0,0.0,0.0,18,0.0,32458,medication,relevant
256,med_rocuronium_bromide,0.0,0.0,0.0,13,0.0,5933,medication,relevant
257,med_rosuvastatin,0.0,0.0,0.0,60,0.0,900,medication,relevant
258,med_salbutamol_and_ipratropium_bromide,0.0,0.0,0.0,8,0.0,3738,medication,relevant
259,med_sertraline,0.0,0.0,0.0,9,0.0,117,medication,relevant
260,med_simvastatin,0.0,0.0,0.0,41,0.0,1874,medication,relevant
261,med_spironolactone,0.0,0.0,0.0,14,0.0,374,medication,relevant
262,med_sucralfate,0.0,0.0,0.0,7,0.0,885,medication,relevant
263,med_sugammadex,0.0,0.0,0.0,13,0.0,40,medication,relevant
264,med_temazepam,0.0,0.0,0.0,33,0.0,961,medication,relevant
265,med_tranexamic_acid,0.0,0.0,0.0,5,0.0,28,medication,relevant
266,med_valsartan,0.0,0.0,0.0,17,0.0,220,medication,relevant
267,med_venlafaxine,0.0,0.0,0.0,2,0.0,30,medication,relevant
268,med_vitamin_b-complex_plain,0.0,0.0,0.0,3,0.0,101,medication,relevant
269,med_voriconazole,0.0,0.0,0.0,33,0.0,3456,medication,relevant
270,med_zopiclone,0.0,0.0,0.0,5,0.0,307,medication,relevant
271,med_macrogol,0.0,0.0,0.0,17,0.0,7670,medication,relevant
272,med_erythrocytes,0.0,0.0,0.0,19,0.0,1496,medication,relevant
273,med_blood_plasma,0.0,0.0,0.0,14,0.0,49,medication,relevant
274,med_thrombocytes,0.0,0.0,0.0,11,0.0,45,medication,relevant
275,lda_canula_tracheal,0.0,0.0,0.0,71,0.0,1039,lda,relevant
276,med_alfacalcidol,0.0,0.0,0.0,7,0.0,40,medication,relevant
277,med_atropine,0.0,0.0,0.0,15,0.0,23,medication,relevant
278,med_adenosine,0.0,0.0,0.0,12,0.0,30,medication,relevant
279,med_norepinephrine,0.0,0.0,0.0,13,0.0,30708,medication,relevant
280,med_propofol,0.0,0.0,0.0,14,0.0,27374,medication,relevant
281,med_amoxicillin,0.0,0.0,0.0,28,0.0,856,medication,relevant
282,med_cefotaxime,0.0,0.0,0.0,3,0.0,37,medication,relevant
283,med_nystatin,0.0,0.0,0.0,4,0.0,156,medication,relevant
284,med_antibiotics,0.0,0.0,0.0,24,0.0,59343,medication,relevant
285,cardiac_output_continuous_unspecified,0.0,0.0,0.0,12,0.0,79610,hemodynamics,relevant
286,peep_total,0.0,0.0,0.0,10,0.0,628726,respiratory,relevant
287,fluid_in_other,0.0,0.0,0.0,144,0.0,44638,fluid balance,relevant
288,temperature_blood,0.0,0.0,0.0,31,0.0,38615,infectiology,relevant
289,intrathoracic_blood_volume_index,0.0,0.0,0.0,10,0.0,1493,hemodynamics,relevant
290,thrombocytes_citrate,0.0,0.0,0.0,8,0.0,113,laboratory value,relevant
291,ammonia_venous,0.0,0.0,0.0,3,0.0,13,laboratory value,relevant
292,vitamin_b12_unspecified,0.0,0.0,0.0,18,0.0,103,laboratory value,relevant
293,anti_xa_unspecified,0.0,0.0,0.0,2,0.0,1553,laboratory value,relevant
294,haptoglobin_unspecified,0.0,0.0,0.0,21,0.0,907,laboratory value,relevant
295,reticulocytes_unspecified,0.0,0.0,0.0,17,0.0,5391,laboratory value,relevant
296,hit_screening,0.0,0.0,0.0,8,0.0,11,laboratory value,relevant
297,voriconazol_level,0.0,0.0,0.0,13,0.0,168,laboratory value,relevant
298,anca_unspecified,0.0,0.0,0.0,12,0.0,16,laboratory value,relevant
299,sars_cov_2_other,0.0,0.0,0.0,10,0.0,208,infectiology,relevant
300,ferritin_unspecified,0.0,0.0,0.0,23,0.0,10534,laboratory value,relevant
301,heparin_speed_cvvh,0.0,0.0,0.0,10,0.0,253980,renal replacement therapy,relevant
302,chloride_arterial,0.0,0.0,0.0,7,0.0,6779,laboratory value,relevant
303,vco2,0.0,0.0,0.0,11,0.0,2918140,respiratory,relevant
304,inspiratory_time_unspecified,0.0,0.0,0.0,19,0.0,1763072,respiratory,relevant
305,nava_edi_trigger,0.0,0.0,0.0,3,0.0,24859,respiratory,relevant
306,nava_edi_peak,0.0,0.0,0.0,4,0.0,232987,respiratory,relevant
307,fio2_measured,0.0,0.0,0.0,28,0.0,2341653,respiratory,relevant
308,minute_volume_expiratory,0.0,0.0,0.0,30,0.0,3980629,respiratory,relevant
309,peep_measured,0.0,0.0,0.0,37,0.0,2887732,respiratory,relevant
310,temperature_peripheral,0.0,0.0,0.0,8,0.0,4062,infectiology,relevant
311,temperature_rectal,0.0,0.0,0.0,12,0.0,2023,infectiology,relevant
312,lung_compliance_dynamic,0.0,0.0,0.0,24,0.0,2291862,respiratory,relevant
313,tidal_volume_expiratory,0.0,0.0,0.0,29,0.0,3261390,respiratory,relevant
314,peep_set,0.0,0.0,0.0,27,0.0,4504273,respiratory,relevant
315,insp_exp_ratio_unspecified,0.0,0.0,0.0,4,0.0,406794,respiratory,relevant
316,ideal_body_weight,0.0,0.0,0.0,16,0.0,836623,demographics,relevant
317,intrinsic_peep_measured,0.0,0.0,0.0,10,0.0,437530,respiratory,relevant
318,expiratory_resistance,0.0,0.0,0.0,4,0.0,1094085,respiratory,relevant
319,inspiratory_resistance,0.0,0.0,0.0,5,0.0,1070893,respiratory,relevant
320,mean_airway_pressure,0.0,0.0,0.0,26,0.0,3743430,respiratory,relevant
321,pacemaker_external,0.0,0.0,0.0,1,0.0,4,hemodynamics,relevant
322,red_blood_cell_distribution_width_unspecified,0.0,0.0,0.0,35,0.0,15307,laboratory value,relevant
323,ph_venous,0.0,0.0,0.0,15,0.0,1407,laboratory value,relevant
324,so2_venous,0.0,0.0,0.0,13,0.0,5723,laboratory value,relevant
325,so2_mixed_venous,0.0,0.0,0.0,2,0.0,480,laboratory value,relevant
326,so2_arterial,0.0,0.0,0.0,26,0.0,57070,laboratory value,relevant
327,pupil_diameter_left,0.3333333333333333,0.1111111111111111,0.16666666666666666,9,0.1111111111111111,8898,neurology,relevant
328,pupil_diameter_right,0.0,0.0,0.0,8,0.0,8766,neurology,relevant
329,vent_mode_noninvasive,0.0,0.0,0.0,7,0.0,649,respiratory,relevant
330,substitution_anticoagulants_cvvh,0.0,0.0,0.0,13,0.0,264907,renal replacement therapy,relevant
331,predilution_flow_cvvh,0.0,0.0,0.0,15,0.0,845640,renal replacement therapy,relevant
332,postdilution_volume_cvvh,0.0,0.0,0.0,4,0.0,477573,renal replacement therapy,relevant
333,predilution_volume_cvvh,0.0,0.0,0.0,4,0.0,477573,renal replacement therapy,relevant
